ID,TRANSLATION,tag_1,tag_2
92|11,Nor will his wealth profit him when he falls headlong (into the Pit).,Nor will his wealth profit him when he falls headlong (into the Pit).,"divine-justice, wealth-futility"
92|12,"Verily We take upon Ourselves to guide,",Verily We take upon Ourselves to guide,"divine-guidance, allah-mercy"
92|13,And verily unto Us (belong) the End and the Beginning.,And verily unto Us (belong) the End and the Beginning.,"Divine Sovereignty, Eternal Dominion"
92|14,Therefore do I warn you of a Fire blazing fiercely;,Therefore do I warn you of a Fire blazing fiercely;,"hell-warning, divine-justice"
92|15,None shall reach it but those most unfortunate ones,None shall reach it but those most unfortunate ones,"divine-justice, hell-warning"
92|16,Who give the lie to Truth and turn their backs.,Who give the lie to Truth and turn their backs.,"divine-rejection, moral-accountability"
92|17,"But those most devoted to Allah shall be removed far from it,-","But those most devoted to Allah shall be removed far from it,-","Divine Protection, Righteous Salvation"
92|18,"Those who spend their wealth for increase in self-purification,","Those who spend their wealth for increase in self-purification,","self-purification, generosity-giving"
92|19,"And have in their minds no favour from anyone for which a reward is expected in return,","And have in their minds no favour from anyone for which a reward is expected in return,","selfless-intention, divine-pleasing"
92|20,But only the desire to seek for the Countenance of their Lord Most High;,But only the desire to seek for the Countenance of their Lord Most High;,"divine-love, spiritual-connection"
92|21,And soon will they attain (complete) satisfaction.,And soon will they attain (complete) satisfaction.,"divine-reward, spiritual-fulfillment"
93|1,"By the Glorious Morning Light,","By the Glorious Morning Light,","divine-mercy, spiritual-illumination"
93|2,"And by the Night when it is still,-","And by the Night when it is still,-","divine-reflection, spiritual-serenity"
93|3,"Thy Guardian-Lord hath not forsaken thee, nor is He displeased.","Thy Guardian-Lord hath not forsaken thee, nor is He displeased.","divine-love, allah-mercy"
93|4,And verily the Hereafter will be better for thee than the present.,And verily the Hereafter will be better for thee than the present.,"divine-promise, afterlife-reward"
93|5,And soon will thy Guardian-Lord give thee (that wherewith) thou shalt be well-pleased.,And soon will thy Guardian-Lord give thee (that wherewith) thou shalt be well-pleased.,"Divine Reward, Allah Mercy"
93|6,Did He not find thee an orphan and give thee shelter (and care)?,Did He not find thee an orphan and give thee shelter (and care)?,"Divine Mercy, Allah Care"
93|7,"And He found thee wandering, and He gave thee guidance.","And He found thee wandering, and He gave thee guidance.","divine-guidance, spiritual-direction"
93|8,"And He found thee in need, and made thee independent.","And He found thee in need, and made thee independent.","divine-provision, spiritual-enrichment"
93|9,"Therefore, treat not the orphan with harshness,","Therefore, treat not the orphan with harshness,","kindness-compassion, social-responsibility"
93|10,Nor repulse the petitioner (unheard);,Nor repulse the petitioner (unheard);,"kindness-compassion, generosity-giving"
93|11,But the bounty of the Lord - rehearse and proclaim!,But the bounty of the Lord - rehearse and proclaim!,"divine-mercy, divine-remembrance"
94|1,Have We not expanded thee thy breast?-,Have We not expanded thee thy breast?-,"divine-mercy, spiritual-relief"
94|2,And removed from thee thy burden,And removed from thee thy burden,"divine-mercy, spiritual-relief"
94|3,The which did gall thy back?-,The which did gall thy back?,"burden-relief, prophetic-struggle"
94|4,And raised high the esteem (in which) thou (art held)?,And raised high the esteem (in which) thou (art held)?,"Divine Honor, Prophetic Elevation"
94|5,"So, verily, with every difficulty, there is relief:",,
94|6,"Verily, with every difficulty there is relief.",,
94|7,"Therefore, when thou art free (from thine immediate task), still labour hard,","Therefore, when thou art free (from thine immediate task), still labour hard,","perseverance-steadfastness, spiritual-diligence"
94|8,And to thy Lord turn (all) thy attention.,And to thy Lord turn (all) thy attention.,"spiritual-connection, divine-focus"
95|1,"By the Fig and the Olive,","By the Fig and the Olive,","Divine-Oaths, Sacred-Symbols"
95|2,"And the Mount of Sinai,","And the Mount of Sinai,","divine-revelation, sacred-landmarks"
95|3,"And this City of security,-","And this City of security,-","Divine Protection, Sacred Sanctuary"
95|4,"We have indeed created man in the best of moulds,","We have indeed created man in the best of moulds,","human-nature, divine-creation"
95|5,"Then do We abase him (to be) the lowest of the low,-","Then do We abase him (to be) the lowest of the low,-","divine-justice, human-condition"
95|6,Except such as believe and do righteous deeds: For they shall have a reward unfailing.,Except such as believe and do righteous deeds: For they shall have a reward unfailing.,"divine-reward, righteous-living"
95|7,"Then what can, after this, contradict thee, as to the judgment (to come)?","Then what can, after this, contradict thee, as to the judgment (to come)?","divine-justice, day-judgment"
95|8,Is not Allah the wisest of judges?,Is not Allah the wisest of judges?,"divine-justice, allah-power"
96|1,"Proclaim! (or read!) in the name of thy Lord and Cherisher, Who created-","Proclaim! (or read!) in the name of thy Lord and Cherisher, Who created-","divine-creativity, prophetic-mission"
96|2,"Created man, out of a (mere) clot of congealed blood:","Created man, out of a (mere) clot of congealed blood:","divine-power, human-origin"
96|3,"Proclaim! And thy Lord is Most Bountiful,-","Proclaim! And thy Lord is Most Bountiful,-","divine-generosity, allah-mercy"
96|4,"He Who taught (the use of) the pen,-","He Who taught (the use of) the pen,-","divine-knowledge, allah-mercy"
96|5,Taught man that which he knew not.,Taught man that which he knew not.,"divine-mercy, knowledge-gift"
96|6,"Nay, but man doth transgress all bounds,","Nay, but man doth transgress all bounds,","human-arrogance, divine-accountability"
96|7,In that he looketh upon himself as self-sufficient.,In that he looketh upon himself as self-sufficient.,"self-delusion, divine-dependence"
96|8,"Verily, to thy Lord is the return (of all).","Verily, to thy Lord is the return (of all).","divine-justice, life-after-death"
96|9,Seest thou one who forbids-,Seest thou one who forbids-,"divine-justice, moral-accountability"
96|10,A votary when he (turns) to pray?,A votary when he (turns) to pray?,"spiritual-connection, worship-methods"
96|11,Seest thou if he is on (the road of) Guidance?-,Seest thou if he is on (the road of) Guidance?-,"Guidance-Seeking, Divine-Justice"
96|12,Or enjoins Righteousness?,Or enjoins Righteousness?,"righteous-living, moral-guidance"
96|13,Seest thou if he denies (Truth) and turns away?,Seest thou if he denies (Truth) and turns away?,"Divine Judgment, Moral Accountability"
96|14,Knoweth he not that Allah doth see?,Knoweth he not that Allah doth see?,"divine-omniscience, moral-accountability"
96|15,"Let him beware! If he desist not, We will drag him by the forelock,-","Let him beware! If he desist not, We will drag him by the forelock,","divine-justice, divine-wrath"
96|16,"A lying, sinful forelock!","A lying, sinful forelock!","Divine Justice, Moral Accountability"
96|17,"Then, let him call (for help) to his council (of comrades):","Then, let him call (for help) to his council (of comrades):","Divine Justice, False Reliance"
96|18,We will call on the angels of punishment (to deal with him)!,We will call on the angels of punishment (to deal with him)!,"divine-justice, divine-punishment"
96|19,"Nay, heed him not: But bow down in adoration, and bring thyself the closer (to Allah)!","Nay, heed him not: But bow down in adoration, and bring thyself the closer (to Allah)!","spiritual-connection, divine-love"
97|1,We have indeed revealed this (Message) in the Night of Power:,We have indeed revealed this (Message) in the Night of Power:,"divine-revelation, sacred-night"
97|2,And what will explain to thee what the night of power is?,And what will explain to thee what the night of power is?,"divine-mystery, spiritual-significance"
97|3,The Night of Power is better than a thousand months.,The Night of Power is better than a thousand months.,"Divine Blessing, Spiritual Significance"
97|4,"Therein come down the angels and the Spirit by Allah's permission, on every errand:","Therein come down the angels and the Spirit by Allah's permission, on every errand:","divine-intervention, spiritual-descension"
97|5,Peace!... This until the rise of morn!,Peace!... This until the rise of morn!,"divine-peace, spiritual-serenity"
98|1,"Those who reject (Truth), among the People of the Book and among the Polytheists, were not going to depart (from their ways) until there should come to them Clear Evidence,-","Those who reject (Truth), among the People of the Book and among the Polytheists, were not going to depart (from their ways) until there should come to them Clear Evidence,","Divine Justice, Rejection Consequences"
98|2,"An messenger from Allah, rehearsing scriptures kept pure and holy:","An messenger from Allah, rehearsing scriptures kept pure and holy:","messenger-guidance, divine-revelation"
98|3,Wherein are laws (or decrees) right and straight.,Wherein are laws (or decrees) right and straight.,"Divine Guidance, Moral Rectitude"
98|4,"Nor did the People of the Book make schisms, until after there came to them Clear Evidence.","Nor did the People of the Book make schisms, until after there came to them Clear Evidence.","Divine Guidance, Community Division"
98|5,"And they have been commanded no more than this: To worship Allah, offering Him sincere devotion, being true (in faith); to establish regular prayer; and to practise regular charity; and that is the Religion Right and Straight.","And they have been commanded no more than this: To worship Allah, offering Him sincere devotion, being true (in faith); to establish regular prayer; and to practise regular charity; and that is the Religion Right and Straight.","True Faith, Righteous Living"
98|6,"Those who reject (Truth), among the People of the Book and among the Polytheists, will be in Hell-Fire, to dwell therein (for aye). They are the worst of creatures.","Those who reject (Truth), among the People of the Book and among the Polytheists, will be in Hell-Fire, to dwell therein (for aye). They are the worst of creatures.","Divine Judgment, Moral Accountability"
98|7,"Those who have faith and do righteous deeds,- they are the best of creatures.","Those who have faith and do righteous deeds,- they are the best of creatures.","righteous-living, divine-reward"
98|8,"Their reward is with Allah: Gardens of Eternity, beneath which rivers flow; they will dwell therein for ever; Allah well pleased with them, and they with Him: all this for such as fear their Lord and Cherisher.","Their reward is with Allah: Gardens of Eternity, beneath which rivers flow; they will dwell therein for ever; Allah well pleased with them, and they with Him: all this for such as fear their Lord and Cherisher.","divine-reward, righteous-recompense"
99|1,"When the earth is shaken to her (utmost) convulsion,","When the earth is shaken to her (utmost) convulsion,","divine-justice, day-judgment"
99|2,"And the earth throws up her burdens (from within),",And the earth throws up her burdens (from within),"divine-justice, day-judgment"
99|3,And man cries (distressed): 'What is the matter with her?'-,And man cries (distressed): 'What is the matter with her?'-,"day-judgment, divine-power"
99|4,On that Day will she declare her tidings:,On that Day will she declare her tidings:,"Divine Revelation, Day of Judgment"
99|5,For that thy Lord will have given her inspiration.,For that thy Lord will have given her inspiration.,"divine-guidance, divine-communication"
99|6,"On that Day will men proceed in companies sorted out, to be shown the deeds that they (had done).","On that Day will men proceed in companies sorted out, to be shown the deeds that they (had done).","divine-justice, day-judgment"
99|7,"Then shall anyone who has done an atom's weight of good, see it!","Then shall anyone who has done an atom's weight of good, see it!","divine-justice, accountability-afterlife"
99|8,"And anyone who has done an atom's weight of evil, shall see it.","And anyone who has done an atom's weight of evil, shall see it.","divine-justice, day-judgment"
100|1,"By the (Steeds) that run, with panting (breath),","By the (Steeds) that run, with panting (breath),","divine-power, judgment-preparation"
100|2,"And strike sparks of fire,","And strike sparks of fire,","Divine Power, Judgment Imagery"
100|3,"And push home the charge in the morning,","And push home the charge in the morning,","Divine Support, Moral Courage"
100|4,"And raise the dust in clouds the while,","And raise the dust in clouds the while,","Divine Power, War Imagery"
100|5,And penetrate forthwith into the midst (of the foe) en masse;-,And penetrate forthwith into the midst (of the foe) en masse;,"collective-courage, spiritual-resolve"
100|6,"Truly man is, to his Lord, ungrateful;","Truly man is, to his Lord, ungrateful;","human-ingratitude, divine-rights"
100|7,And to that (fact) he bears witness (by his deeds);,And to that (fact) he bears witness (by his deeds);,"human-testimony, divine-accountability"
100|8,And violent is he in his love of wealth.,And violent is he in his love of wealth.,"material-attachment, human-nature"
100|9,"Does he not know,- when that which is in the graves is scattered abroad","Does he not know,- when that which is in the graves is scattered abroad","divine-justice, day-judgment"
100|10,And that which is (locked up) in (human) breasts is made manifest-,And that which is (locked up) in (human) breasts is made manifest-,"Divine Knowledge, Inner Revelation"
100|11,"That their Lord had been Well-acquainted with them, (even to) that Day?","That their Lord had been Well-acquainted with them, (even to) that Day?","divine-omniscience, day-judgment"
101|1,The (Day) of Noise and Clamour:,The (Day) of Noise and Clamour:,"day-judgment, divine-justice"
101|2,What is the (Day) of Noise and Clamour?,What is the (Day) of Noise and Clamour?,"Day of Judgment, Divine Justice"
101|3,And what will explain to thee what the (Day) of Noise and Clamour is?,And what will explain to thee what the (Day) of Noise and Clamour is?,"day-judgment, divine-justice"
101|4,"(It is) a Day whereon men will be like moths scattered about,","(It is) a Day whereon men will be like moths scattered about,","day-judgment, divine-justice"
101|5,And the mountains will be like carded wool.,And the mountains will be like carded wool.,"divine-justice, day-judgment"
101|6,"Then, he whose balance (of good deeds) will be (found) heavy,","Then, he whose balance (of good deeds) will be (found) heavy,","divine-justice, day-judgment"
101|7,Will be in a life of good pleasure and satisfaction.,Will be in a life of good pleasure and satisfaction.,"divine-reward, afterlife-bliss"
101|8,"But he whose balance (of good deeds) will be (found) light,-","But he whose balance (of good deeds) will be (found) light,-","divine-justice, afterlife-consequences"
101|9,Will have his home in a (bottomless) Pit.,Will have his home in a (bottomless) Pit.,"hell-warning, divine-justice"
101|10,And what will explain to thee what this is?,And what will explain to thee what this is?,"Divine Warning, Judgment Mystery"
101|11,(It is) a Fire Blazing fiercely!,(It is) a Fire Blazing fiercely!,"hell-warning, divine-justice"
102|1,"The mutual rivalry for piling up (the good things of this world) diverts you (from the more serious things),","The mutual rivalry for piling up (the good things of this world) diverts you (from the more serious things),","worldly-distraction, spiritual-negligence"
102|2,Until ye visit the graves.,Until ye visit the graves.,"mortality-reminder, afterlife-reflection"
102|3,"But nay, ye soon shall know (the reality).","But nay, ye soon shall know (the reality).","divine-justice, day-judgment"
102|4,"Again, ye soon shall know!","Again, ye soon shall know!","divine-warning, judgment-certainty"
102|5,"Nay, were ye to know with certainty of mind, (ye would beware!)","Nay, were ye to know with certainty of mind, (ye would beware!)","divine-warning, certainty-knowledge"
102|6,Ye shall certainly see Hell-Fire!,Ye shall certainly see Hell-Fire!,"hell-warning, divine-justice"
102|7,"Again, ye shall see it with certainty of sight!","Again, ye shall see it with certainty of sight!","divine-justice, hell-warning"
102|8,"Then, shall ye be questioned that Day about the joy (ye indulged in!).","Then, shall ye be questioned that Day about the joy (ye indulged in!).","divine-justice, day-judgment"
103|1,"By (the Token of) Time (through the ages),","By (the Token of) Time (through the ages),","Divine-Oath, Time-Swearing"
103|2,"Verily Man is in loss,","Verily Man is in loss,","human-condition, spiritual-loss"
103|3,"Except such as have Faith, and do righteous deeds, and (join together) in the mutual teaching of Truth, and of Patience and Constancy.","Except such as have Faith, and do righteous deeds, and (join together) in the mutual teaching of Truth, and of Patience and Constancy.","Faith-Righteousness, Community-Solidarity"
104|1,"Woe to every (kind of) scandal-monger and-backbiter,","Woe to every (kind of) scandal-monger and-backbiter,","Moral Corruption, Divine Condemnation"
104|2,"Who pileth up wealth and layeth it by,","Who pileth up wealth and layeth it by,","material-obsession, greed-hoarding"
104|3,Thinking that his wealth would make him last for ever!,Thinking that his wealth would make him last for ever!,"Misconception-Wealth, Eternal-Life-Illusion"
104|4,"By no means! He will be sure to be thrown into That which Breaks to Pieces,","By no means! He will be sure to be thrown into That which Breaks to Pieces,","divine-justice, hell-warning"
104|5,And what will explain to thee That which Breaks to Pieces?,And what will explain to thee That which Breaks to Pieces?,"divine-punishment, hell-warning"
104|6,"(It is) the Fire of (the Wrath of) Allah kindled (to a blaze),","(It is) the Fire of (the Wrath of) Allah kindled (to a blaze),","divine-wrath, hell-warning"
104|7,The which doth mount (Right) to the Hearts:,The which doth mount (Right) to the Hearts:,"divine-penetration, heart-piercing-pain"
104|8,"It shall be made into a vault over them,","It shall be made into a vault over them,","divine-punishment, hell-warning"
104|9,In columns outstretched.,In columns outstretched.,"divine-punishment, allah-power"
105|1,Seest thou not how thy Lord dealt with the Companions of the Elephant?,Seest thou not how thy Lord dealt with the Companions of the Elephant?,"divine-power, historical-example"
105|2,Did He not make their treacherous plan go astray?,Did He not make their treacherous plan go astray?,"divine-power, divine-justice"
105|3,"And He sent against them Flights of Birds,","And He sent against them Flights of Birds,","divine-punishment, allah-power"
105|4,Striking them with stones of baked clay.,Striking them with stones of baked clay.,"divine-punishment, allah-power"
105|5,"Then did He make them like an empty field of stalks and straw, (of which the corn) has been eaten up.","Then did He make them like an empty field of stalks and straw, (of which the corn) has been eaten up.","divine-punishment, allah-power"
106|1,"For the covenants (of security and safeguard enjoyed) by the Quraish,","For the covenants (of security and safeguard enjoyed) by the Quraish,","divine-protection, social-harmony"
106|2,"Their covenants (covering) journeys by winter and summer,-","Their covenants (covering) journeys by winter and summer,-","divine-provision, security-blessings"
106|3,"Let them adore the Lord of this House,","Let them adore the Lord of this House,","divine-worship, spiritual-connection"
106|4,"Who provides them with food against hunger, and with security against fear (of danger).","Who provides them with food against hunger, and with security against fear (of danger).","divine-mercy, allah-provision"
107|1,Seest thou one who denies the Judgment (to come)?,Seest thou one who denies the Judgment (to come)?,"Divine Justice, Afterlife Denial"
107|2,"Then such is the (man) who repulses the orphan (with harshness),","Then such is the (man) who repulses the orphan (with harshness),","unkindness-behavior, social-responsibility"
107|3,And encourages not the feeding of the indigent.,And encourages not the feeding of the indigent.,"Social Responsibility, Charity Obligation"
107|4,So woe to the worshippers,So woe to the worshippers,"Divine Warning, Spiritual Hypocrisy"
107|5,"Who are neglectful of their prayers,","Who are neglectful of their prayers,","spiritual-neglect, prayer-disregard"
107|6,"Those who (want but) to be seen (of men),",Those who (want but) to be seen (of men),"Hypocrisy-Exposure, Riya-Condemnation"
107|7,But refuse (to supply) (even) neighbourly needs.,But refuse (to supply) (even) neighbourly needs.,"social-responsibility, kindness-compassion"
108|1,To thee have We granted the Fount (of Abundance).,To thee have We granted the Fount (of Abundance).,"Divine Provision, Spiritual Abundance"
108|2,Therefore to thy Lord turn in Prayer and Sacrifice.,Therefore to thy Lord turn in Prayer and Sacrifice.,"spiritual-connection, divine-devotion"
108|3,"For he who hateth thee, he will be cut off (from Future Hope).","For he who hateth thee, he will be cut off (from Future Hope)","Divine Justice, Consequences of Enmity"
109|1,Say: O ye that reject Faith!,Say: O ye that reject Faith!,"Divine Confrontation, Faith Disagreement"
109|2,"I worship not that which ye worship,","I worship not that which ye worship,","Divine Disagreement, Worship Distinction"
109|3,Nor will ye worship that which I worship.,Nor will ye worship that which I worship.,"Divine Disagreement, Worship Disparity"
109|4,"And I will not worship that which ye have been wont to worship,","And I will not worship that which ye have been wont to worship,","Divine Disassociation, Worship Integrity"
109|5,Nor will ye worship that which I worship.,Nor will ye worship that which I worship.,"Divine Disagreement, Worship Distinction"
109|6,"To you be your Way, and to me mine.","To you be your Way, and to me mine.","Religious Tolerance, Personal Conviction"
110|1,"When comes the Help of Allah, and Victory,","When comes the Help of Allah, and Victory,","divine-assistance, triumph-success"
110|2,"And thou dost see the people enter Allah's Religion in crowds,","And thou dost see the people enter Allah's Religion in crowds,","divine-mercy, community-faith"
110|3,"Celebrate the praises of thy Lord, and pray for His Forgiveness: For He is Oft-Returning (in Grace and Mercy).","Celebrate the praises of thy Lord, and pray for His Forgiveness: For He is Oft-Returning (in Grace and Mercy).","divine-mercy, spiritual-connection"
111|1,Perish the hands of the Father of Flame! Perish he!,Perish the hands of the Father of Flame! Perish he!,"divine-punishment, hell-warning"
111|2,"No profit to him from all his wealth, and all his gains!","No profit to him from all his wealth, and all his gains!","Divine Justice, Wealth Futility"
111|3,Burnt soon will he be in a Fire of Blazing Flame!,Burnt soon will he be in a Fire of Blazing Flame!,"divine-justice, hell-warning"
111|4,His wife shall carry the (crackling) wood - As fuel!-,His wife shall carry the (crackling) wood - As fuel!-,"Divine Justice, Punishment in Afterlife"
111|5,A twisted rope of palm-leaf fibre round her (own) neck!,A twisted rope of palm-leaf fibre round her (own) neck!,"divine-justice, hell-warning"
112|1,"Say: He is Allah, the One and Only;","Say: He is Allah, the One and Only;","Divine Uniqueness, Allah's Oneness"
112|2,"Allah, the Eternal, Absolute;","Allah, the Eternal, Absolute;","Divine Uniqueness, Allah Attributes"
112|3,"He begetteth not, nor is He begotten;","He begetteth not, nor is He begotten;","Divine Uniqueness, Allah's Attributes"
112|4,And there is none like unto Him.,And there is none like unto Him.,"Divine Uniqueness, Allah Transcedence"
113|1,Say: I seek refuge with the Lord of the Dawn,Say: I seek refuge with the Lord of the Dawn,"divine-protection, spiritual-refuge"
113|2,From the mischief of created things;,From the mischief of created things;,"evil-protection, divine-shelter"
113|3,From the mischief of Darkness as it overspreads;,From the mischief of Darkness as it overspreads;,"spiritual-darkness, divine-protection"
113|4,From the mischief of those who practise secret arts;,From the mischief of those who practise secret arts;,"evil-influence, spiritual-protection"
113|5,And from the mischief of the envious one as he practises envy.,And from the mischief of the envious one as he practises envy.,"envy-protection, moral-guarding"
114|1,"Say: I seek refuge with the Lord and Cherisher of Mankind,","Say: I seek refuge with the Lord and Cherisher of Mankind,","divine-protection, spiritual-refuge"
114|2,"The King (or Ruler) of Mankind,","The King (or Ruler) of Mankind,","divine-authority, allah-names"
114|3,"The god (or judge) of Mankind,-","The god (or judge) of Mankind,-","divine-authority, allah-judgment"
114|4,"From the mischief of the Whisperer (of Evil), who withdraws (after his whisper),-","From the mischief of the Whisperer (of Evil), who withdraws (after his whisper),","evil-influence, spiritual-protection"
114|5,"(The same) who whispers into the hearts of Mankind,-","(The same) who whispers into the hearts of Mankind,","spiritual-corruption, divine-temptation"
114|6,Among Jinns and among men.,Among Jinns and among men.,"spiritual-mischief, divine-creation"
