ID,TRANSLATION,tag_1,tag_2
97|2,And what will explain to thee what the night of power is?,And what will explain to thee what the night of power is?,"divine-mystery, spiritual-significance"
97|3,The Night of Power is better than a thousand months.,The Night of Power is better than a thousand months.,"Divine Mercy, Spiritual Significance"
97|4,"Therein come down the angels and the Spirit by Allah's permission, on every errand:","Therein come down the angels and the Spirit by Allah's permission, on every errand:","divine-intervention, spiritual-descension"
97|5,Peace!... This until the rise of morn!,Peace!... This until the rise of morn!,"divine-peace, spiritual-serenity"
98|1,"Those who reject (Truth), among the People of the Book and among the Polytheists, were not going to depart (from their ways) until there should come to them Clear Evidence,-","Those who reject (Truth), among the People of the Book and among the Polytheists, were not going to depart (from their ways) until there should come to them Clear Evidence,-","divine-justice, messenger-guidance"
98|2,"An messenger from Allah, rehearsing scriptures kept pure and holy:","An messenger from Allah, rehearsing scriptures kept pure and holy:","messenger-guidance, divine-revelation"
98|3,Wherein are laws (or decrees) right and straight.,Wherein are laws (or decrees) right and straight.,"divine-guidance, moral-rectitude"
98|4,"Nor did the People of the Book make schisms, until after there came to them Clear Evidence.","Nor did the People of the Book make schisms, until after there came to them Clear Evidence.","Divine Guidance, Unity Fragmentation"
98|5,"And they have been commanded no more than this: To worship Allah, offering Him sincere devotion, being true (in faith); to establish regular prayer; and to practise regular charity; and that is the Religion Right and Straight.","And they have been commanded no more than this: To worship Allah, offering Him sincere devotion, being true (in faith); to establish regular prayer; and to practise regular charity; and that is the Religion Right and Straight.","True Faith, Righteous Living"
98|6,"Those who reject (Truth), among the People of the Book and among the Polytheists, will be in Hell-Fire, to dwell therein (for aye). They are the worst of creatures.","Those who reject (Truth), among the People of the Book and among the Polytheists, will be in Hell-Fire, to dwell therein (for aye). They are the worst of creatures.","Divine Judgment, Moral Accountability"
98|7,"Those who have faith and do righteous deeds,- they are the best of creatures.","Those who have faith and do righteous deeds,- they are the best of creatures.","righteous-living, divine-reward"
98|8,"Their reward is with Allah: Gardens of Eternity, beneath which rivers flow; they will dwell therein for ever; Allah well pleased with them, and they with Him: all this for such as fear their Lord and Cherisher.","Their reward is with Allah: Gardens of Eternity, beneath which rivers flow; they will dwell therein for ever; Allah well pleased with them, and they with Him: all this for such as fear their Lord and Cherisher.","divine-reward, righteous-recompense"
99|1,"When the earth is shaken to her (utmost) convulsion,","When the earth is shaken to her (utmost) convulsion,","divine-justice, day-judgment"
99|2,"And the earth throws up her burdens (from within),",And the earth throws up her burdens (from within),"divine-power, day-judgment"
99|3,And man cries (distressed): 'What is the matter with her?'-,And man cries (distressed): 'What is the matter with her?'-,"day-judgment, divine-power"
99|4,On that Day will she declare her tidings:,On that Day will she declare her tidings:,"divine-revelation, day-judgment"
99|5,For that thy Lord will have given her inspiration.,For that thy Lord will have given her inspiration.,"divine-revelation, divine-guidance"
99|6,"On that Day will men proceed in companies sorted out, to be shown the deeds that they (had done).","On that Day will men proceed in companies sorted out, to be shown the deeds that they (had done).","divine-justice, day-judgment"
99|7,"Then shall anyone who has done an atom's weight of good, see it!","Then shall anyone who has done an atom's weight of good, see it!","divine-justice, accountability-afterlife"
99|8,"And anyone who has done an atom's weight of evil, shall see it.","And anyone who has done an atom's weight of evil, shall see it.","divine-justice, accountability-afterlife"
100|1,"By the (Steeds) that run, with panting (breath),","By the (Steeds) that run, with panting (breath),","divine-power, judgment-preparation"
100|2,"And strike sparks of fire,","And strike sparks of fire,","Divine Power, Moral Resolve"
100|3,"And push home the charge in the morning,","And push home the charge in the morning,","divine-power, moral-courage"
100|4,"And raise the dust in clouds the while,","And raise the dust in clouds the while,","Divine Warfare, Militant Resolve"
100|5,And penetrate forthwith into the midst (of the foe) en masse;-,And penetrate forthwith into the midst (of the foe) en masse;,"collective-action, spiritual-warrior"
100|6,"Truly man is, to his Lord, ungrateful;","Truly man is, to his Lord, ungrateful;","human-ingratitude, divine-rights"
100|7,And to that (fact) he bears witness (by his deeds);,And to that (fact) he bears witness (by his deeds);,"human-nature, self-testimony"
100|8,And violent is he in his love of wealth.,And violent is he in his love of wealth.,"material-attachment, moral-corruption"
100|9,"Does he not know,- when that which is in the graves is scattered abroad","Does he not know,- when that which is in the graves is scattered abroad","divine-justice, day-judgment"
100|10,And that which is (locked up) in (human) breasts is made manifest-,And that which is (locked up) in (human) breasts is made manifest-,"Divine Omniscience, Inner Revelation"
100|11,"That their Lord had been Well-acquainted with them, (even to) that Day?","That their Lord had been Well-acquainted with them, (even to) that Day?","Divine Omniscience, Day of Judgment"
101|1,The (Day) of Noise and Clamour:,The (Day) of Noise and Clamour:,"day-judgment, divine-justice"
101|2,What is the (Day) of Noise and Clamour?,What is the (Day) of Noise and Clamour?,"day-judgment, divine-justice"
101|3,And what will explain to thee what the (Day) of Noise and Clamour is?,And what will explain to thee what the (Day) of Noise and Clamour is?,"day-judgment, divine-justice"
101|4,"(It is) a Day whereon men will be like moths scattered about,","(It is) a Day whereon men will be like moths scattered about,","divine-justice, day-judgment"
101|5,And the mountains will be like carded wool.,And the mountains will be like carded wool.,"divine-power, day-judgment"
101|6,"Then, he whose balance (of good deeds) will be (found) heavy,","Then, he whose balance (of good deeds) will be (found) heavy,","divine-justice, afterlife-reckoning"
101|7,Will be in a life of good pleasure and satisfaction.,Will be in a life of good pleasure and satisfaction.,"divine-reward, afterlife-bliss"
101|8,"But he whose balance (of good deeds) will be (found) light,-","But he whose balance (of good deeds) will be (found) light,-","divine-justice, afterlife-consequences"
101|9,Will have his home in a (bottomless) Pit.,Will have his home in a (bottomless) Pit.,"divine-justice, hell-warning"
101|10,And what will explain to thee what this is?,And what will explain to thee what this is?,"Divine Warning, Judgment Severity"
101|11,(It is) a Fire Blazing fiercely!,(It is) a Fire Blazing fiercely!,"hell-warning, divine-justice"
102|1,"The mutual rivalry for piling up (the good things of this world) diverts you (from the more serious things),","The mutual rivalry for piling up (the good things of this world) diverts you (from the more serious things),","worldly-distraction, spiritual-negligence"
102|2,Until ye visit the graves.,Until ye visit the graves.,"mortality-reminder, afterlife-reflection"
102|3,"But nay, ye soon shall know (the reality).","But nay, ye soon shall know (the reality).","divine-justice, day-judgment"
102|4,"Again, ye soon shall know!","Again, ye soon shall know!","divine-warning, judgment-certainty"
102|5,"Nay, were ye to know with certainty of mind, (ye would beware!)","Nay, were ye to know with certainty of mind, (ye would beware!)","divine-warning, certainty-knowledge"
102|6,Ye shall certainly see Hell-Fire!,Ye shall certainly see Hell-Fire!,"hell-warning, divine-justice"
102|7,"Again, ye shall see it with certainty of sight!","Again, ye shall see it with certainty of sight!","divine-justice, hell-warning"
102|8,"Then, shall ye be questioned that Day about the joy (ye indulged in!).","Then, shall ye be questioned that Day about the joy (ye indulged in!).","divine-justice, day-judgment"
103|1,"By (the Token of) Time (through the ages),","By (the Token of) Time (through the ages),","divine-oath, temporal-reflection"
103|2,"Verily Man is in loss,",Verily Man is in loss,"human-condition, spiritual-risk"
103|3,"Except such as have Faith, and do righteous deeds, and (join together) in the mutual teaching of Truth, and of Patience and Constancy.","Except such as have Faith, and do righteous deeds, and (join together) in the mutual teaching of Truth, and of Patience and Constancy.","Faith-Righteousness, Mutual-Support"
104|1,"Woe to every (kind of) scandal-monger and-backbiter,","Woe to every (kind of) scandal-monger and-backbiter,","Moral-Condemnation, Social-Vices"
104|2,"Who pileth up wealth and layeth it by,","Who pileth up wealth and layeth it by,","material-attachment, wealth-obsession"
104|3,Thinking that his wealth would make him last for ever!,Thinking that his wealth would make him last for ever!,"material-illusion, divine-justice"
104|4,"By no means! He will be sure to be thrown into That which Breaks to Pieces,","By no means! He will be sure to be thrown into That which Breaks to Pieces,","divine-justice, hell-warning"
104|5,And what will explain to thee That which Breaks to Pieces?,And what will explain to thee That which Breaks to Pieces?,"divine-justice, hell-warning"
104|6,"(It is) the Fire of (the Wrath of) Allah kindled (to a blaze),","(It is) the Fire of (the Wrath of) Allah kindled (to a blaze),","divine-wrath, hell-warning"
104|7,The which doth mount (Right) to the Hearts:,The which doth mount (Right) to the Hearts:,"divine-punishment, spiritual-consequence"
104|8,"It shall be made into a vault over them,","It shall be made into a vault over them,","divine-punishment, divine-justice"
104|9,In columns outstretched.,In columns outstretched.,"divine-punishment, divine-power"
105|1,Seest thou not how thy Lord dealt with the Companions of the Elephant?,Seest thou not how thy Lord dealt with the Companions of the Elephant?,"divine-power, historical-example"
105|2,Did He not make their treacherous plan go astray?,Did He not make their treacherous plan go astray?,"divine-power, divine-justice"
105|3,"And He sent against them Flights of Birds,","And He sent against them Flights of Birds,","divine-punishment, allah-power"
105|4,Striking them with stones of baked clay.,Striking them with stones of baked clay.,"divine-punishment, allah-power"
105|5,"Then did He make them like an empty field of stalks and straw, (of which the corn) has been eaten up.","Then did He make them like an empty field of stalks and straw, (of which the corn) has been eaten up.","divine-punishment, divine-justice"
106|1,"For the covenants (of security and safeguard enjoyed) by the Quraish,","For the covenants (of security and safeguard enjoyed) by the Quraish,","divine-protection, social-harmony"
106|2,"Their covenants (covering) journeys by winter and summer,-","Their covenants (covering) journeys by winter and summer,-","divine-provision, community-protection"
106|3,"Let them adore the Lord of this House,","Let them adore the Lord of this House,","divine-worship, spiritual-connection"
106|4,"Who provides them with food against hunger, and with security against fear (of danger).","Who provides them with food against hunger, and with security against fear (of danger).","divine-mercy, allah-provision"
107|1,Seest thou one who denies the Judgment (to come)?,Seest thou one who denies the Judgment (to come)?,"divine-justice, afterlife-denial"
107|2,"Then such is the (man) who repulses the orphan (with harshness),","Then such is the (man) who repulses the orphan (with harshness),","unkindness-behavior, social-injustice"
107|3,And encourages not the feeding of the indigent.,And encourages not the feeding of the indigent.,"social-responsibility, kindness-compassion"
107|4,So woe to the worshippers,So woe to the worshippers,"Divine Warning, Spiritual Neglect"
107|5,"Who are neglectful of their prayers,","Who are neglectful of their prayers,","spiritual-neglect, prayer-disconnection"
107|6,"Those who (want but) to be seen (of men),",Those who (want but) to be seen (of men),"hypocrisy-ostentation, social-responsibility"
107|7,But refuse (to supply) (even) neighbourly needs.,But refuse (to supply) (even) neighbourly needs.,"social-responsibility, kindness-compassion"
108|1,To thee have We granted the Fount (of Abundance).,To thee have We granted the Fount (of Abundance).,"Divine Provision, Spiritual Abundance"
108|2,Therefore to thy Lord turn in Prayer and Sacrifice.,Therefore to thy Lord turn in Prayer and Sacrifice.,"spiritual-connection, divine-devotion"
108|3,"For he who hateth thee, he will be cut off (from Future Hope).","For he who hateth thee, he will be cut off (from Future Hope).","divine-justice, consequences-hatred"
109|1,Say: O ye that reject Faith!,Say: O ye that reject Faith!,"Divine Warning, Faith Rejection"
109|2,"I worship not that which ye worship,","I worship not that which ye worship,","Divine Disavowal, Worship Distinction"
109|3,Nor will ye worship that which I worship.,Nor will ye worship that which I worship.,"Divine Disagreement, Worship Distinction"
109|4,"And I will not worship that which ye have been wont to worship,","And I will not worship that which ye have been wont to worship,","Divine Disavowal, Worship Disagreement"
109|5,Nor will ye worship that which I worship.,Nor will ye worship that which I worship.,"Divine Disassociation, Worship Autonomy"
109|6,"To you be your Way, and to me mine.","To you be your Way, and to me mine.","Religious Tolerance, Personal Conviction"
110|1,"When comes the Help of Allah, and Victory,","When comes the Help of Allah, and Victory,","divine-assistance, triumph-success"
110|2,"And thou dost see the people enter Allah's Religion in crowds,","And thou dost see the people enter Allah's Religion in crowds,","divine-mercy, community-faith"
110|3,"Celebrate the praises of thy Lord, and pray for His Forgiveness: For He is Oft-Returning (in Grace and Mercy).","Celebrate the praises of thy Lord, and pray for His Forgiveness: For He is Oft-Returning (in Grace and Mercy).","divine-mercy, spiritual-connection"
111|1,Perish the hands of the Father of Flame! Perish he!,Perish the hands of the Father of Flame! Perish he!,"divine-punishment, hell-warning"
111|2,"No profit to him from all his wealth, and all his gains!","No profit to him from all his wealth, and all his gains!","divine-justice, material-futility"
111|3,Burnt soon will he be in a Fire of Blazing Flame!,Burnt soon will he be in a Fire of Blazing Flame!,"divine-justice, hell-warning"
111|4,His wife shall carry the (crackling) wood - As fuel!-,His wife shall carry the (crackling) wood - As fuel!-,"divine-justice, punishment-afterlife"
111|5,A twisted rope of palm-leaf fibre round her (own) neck!,A twisted rope of palm-leaf fibre round her (own) neck!,"divine-justice, punishment-consequences"
112|1,"Say: He is Allah, the One and Only;","Say: He is Allah, the One and Only;","Divine Oneness, Allah Uniqueness"
112|2,"Allah, the Eternal, Absolute;","Allah, the Eternal, Absolute;","divine-attributes, allah-names"
112|3,"He begetteth not, nor is He begotten;","He begetteth not, nor is He begotten;","Divine Uniqueness, Allah's Attributes"
112|4,And there is none like unto Him.,And there is none like unto Him.,"Divine Uniqueness, Allah's Oneness"
113|1,Say: I seek refuge with the Lord of the Dawn,Say: I seek refuge with the Lord of the Dawn,"divine-protection, spiritual-refuge"
113|2,From the mischief of created things;,From the mischief of created things;,"divine-protection, evil-avoidance"
113|3,From the mischief of Darkness as it overspreads;,From the mischief of Darkness as it overspreads;,"spiritual-darkness, divine-protection"
113|4,From the mischief of those who practise secret arts;,From the mischief of those who practise secret arts;,"Evil Influence, Spiritual Harm"
113|5,And from the mischief of the envious one as he practises envy.,And from the mischief of the envious one as he practises envy.,"envy-protection, spiritual-harm"
114|1,"Say: I seek refuge with the Lord and Cherisher of Mankind,","Say: I seek refuge with the Lord and Cherisher of Mankind,","divine-protection, allah-mercy"
114|2,"The King (or Ruler) of Mankind,","The King (or Ruler) of Mankind,","divine-authority, allah-power"
114|3,"The god (or judge) of Mankind,-","The god (or judge) of Mankind,-","divine-authority, divine-judgment"
114|4,"From the mischief of the Whisperer (of Evil), who withdraws (after his whisper),-","From the mischief of the Whisperer (of Evil), who withdraws (after his whisper),","evil-influence, spiritual-protection"
114|5,"(The same) who whispers into the hearts of Mankind,-","(The same) who whispers into the hearts of Mankind,-","evil-influence, spiritual-corruption"
114|6,Among Jinns and among men.,Among Jinns and among men.,"spiritual-beings, divine-temptation"
